metabolite_name,RefMetName,metabolite_ID,RetentionTimeIndex,m_z_ratio
TG(18:1/18:1/22:6),TG 18:1_18:1_22:6,ME399172,8.21,948.801208750422
TG(18:1/18:2/18:2),TG 18:1_18:2_18:2,ME399173,8.3,898.784732552276
TG(18:2/18:1/16:0),TG(18:2/18:1/16:0)*,ME399174,8.56,874.784156093242
TG(18:2/18:1/18:1),TG(18:2/18:1/18:1)*,ME399175,8.51,900.799783081287
TG(18:2/18:2/18:2) or TG(18:3/18:2/18:1),-,ME399176,8.13,896.771007385818
TG(18:2/22:5/16:0),TG(18:2/22:5/16:0)*,ME399177,8.23,922.785472721292
TG(45:0),TG 45:0,ME399178,8.52,782.723188543061
TG(47:0),TG 47:0,ME399179,8.81,810.754370636705
TG(47:1),TG 47:1,ME399180,8.51,808.739159629769
TG(47:2),TG 47:2,ME399181,8.23,806.723442451605
TG(48:0),TG 48:0,ME399182,9.01,829.725961035578
TG(48:1),TG 48:1,ME399183,8.65,827.71041450581
TG(48:3),TG 48:3,ME399184,8.09,818.721843666961
TG(49:0),TG 49:0,ME399228,9.17,838.784744357345
TG(49:1),TG 49:1,ME399185,8.78,836.770296679114
TG(49:2),TG 49:2,ME399186,8.46,834.7547737682
TG(49:3),TG 49:3,ME399187,8.2,832.738837918902
TG(50:0),TG 50:0,ME399188,9.36,852.798571188596
TG(50:0).1,TG 50:0,ME399189,8.55,857.757436326181
TG(50:1),TG 50:1,ME399190,8.94,850.784757561862
TG(50:1).1,TG 50:1,ME399191,8.29,855.742427857792
TG(50:2),TG 50:2,ME399192,8.61,853.726162706973
TG(50:3),TG 50:3,ME399193,8.32,846.753910200078
TG(50:3).1,TG 50:3,ME399194,8.32,851.710333156657
TG(50:5),TG 50:5,ME399195,7.89,842.722851936207
TG(51:1),TG 51:1,ME399196,9.07,864.800974887146
TG(51:2),TG 51:2,ME399197,8.73,862.785693714397
TG(51:2).1,TG 51:2,ME399198,9.08,862.785926772791
TG(51:3),TG 51:3,ME399199,8.44,860.769982774954
TG(51:4),TG 51:4,ME399200,8.19,858.755331695649
TG(52:0),TG 52:0,ME399201,9.75,880.830141057138
TG(52:2),TG 52:2,ME399202,8.87,881.7574353557
TG(52:3),TG 52:3,ME399203,8.56,879.740454821899
TG(52:4),TG 52:4,ME399204,8.29,877.725635711989
TG(52:5),TG 52:5,ME399205,8.09,875.710060684454
TG(52:6),TG 52:6,ME399206,7.94,868.739505138151
TG(53:2),TG 53:2,ME399207,9.02,890.816560020827
TG(53:3),TG 53:3,ME399208,8.68,888.800568573453
TG(53:4),TG 53:4,ME399209,8.4,886.785110406485
TG(53:5),TG 53:5,ME399210,8.2,884.76944657319
TG(54:1),TG 54:1,ME399211,9.65,906.8467464524
TG(54:2),TG 54:2,ME399212,9.18,904.830656066524
TG(54:3),TG 54:3,ME399213,8.8,907.772737794824
TG(54:4),TG 54:4,ME399214,8.51,905.756508258239
TG(54:5),TG 54:5,ME399215,8.3,903.74027835641
TG(54:6),TG 54:6,ME399216,8.1,901.725808325775
TG(54:7),TG 54:7,ME399217,7.99,894.75511934842
TG(55:5),TG 55:5,ME399218,8.47,912.800081815371
TG(56:2),TG 56:2,ME399219,9.53,932.863187141442
TG(56:3),TG 56:3,ME399220,9.09,930.846590898358
TG(56:4),TG 56:4,ME399221,8.96,928.830893418838
TG(56:4).1,TG 56:4,ME399222,8.77,928.829837080623
TG(56:6),TG 56:6,ME399223,8.35,929.756373091949
TG(56:9),TG 56:9,ME399224,7.79,918.75528171504
TG(58:6),TG 58:6,ME399225,8.53,952.829054669198
TG(58:9),TG 58:9,ME399226,7.99,946.78563923852
TG(O-52:2) or TG(P-52:1),-,ME399227,9.35,862.822914118341
